Crop,Disease,Symptoms,Recommended Pesticide,Dosage & Application,Weather Conditions,Recommended_Fertilizer
Cotton,Bacterial Wilt,Yellowing of leaves with brown spots,Sulfur Dust,Mix 2g per liter of water and spray on affected leaves,Warm and dry climate,Urea
Sugarcane,Blight,Drooping leaves with yellow patches,Copper Oxychloride,Mix with organic compost and apply near roots,Cold temperature,Superphosphate
Potato,Blight,Wilting and stunted growth,Propiconazole,Apply 1.5ml per liter of water weekly,Cold temperature,Superphosphate
Sugarcane,Powdery Mildew,Curling and mosaic pattern on leaves,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Foggy conditions,Superphosphate
Potato,Root Rot,Mold growth on affected areas,Sulfur Dust,Sprinkle powder directly on infected areas,Hot summer season,Urea
Groundnut,Powdery Mildew,Drooping leaves with yellow patches,Propiconazole,Apply 1.5ml per liter of water weekly,Heavy rainfall,Superphosphate
Rice,Rust,Stem lesions with hollow decay,Propiconazole,Mix with organic compost and apply near roots,Foggy conditions,General NPK 20-20-20
Barley,Root Rot,Yellowing of leaves with brown spots,Propiconazole,Mix 2g per liter of water and spray on affected leaves,Hot summer season,Urea
Groundnut,Stem Rot,Black lesions on stem and roots,Trichoderma,Apply when humidity is above 60%,High humidity,Urea
Rice,Leaf Spot,White powdery coating on leaves,Copper Oxychloride,Use 5ml per liter in early morning,Drought conditions,General NPK 20-20-20
Maize,Blight,Drooping leaves with yellow patches,Copper Oxychloride,Mix 2g per liter of water and spray on affected leaves,High humidity,Superphosphate
Barley,Stem Rot,White powdery coating on leaves,Dithane M-45,Mix with organic compost and apply near roots,Cold temperature,Urea
Rice,Rust,Stem lesions with hollow decay,Carbendazim,Use 5ml per liter in early morning,Drought conditions,General NPK 20-20-20
Barley,Blight,White powdery coating on leaves,Trichoderma,Use 5ml per liter in early morning,Cold temperature,Superphosphate
Barley,Blight,Mold growth on affected areas,Carbendazim,Mix with organic compost and apply near roots,Low rainfall,Superphosphate
Groundnut,Stem Rot,Black lesions on stem and roots,Trichoderma,Sprinkle powder directly on infected areas,Heavy rainfall,Urea
Cotton,Powdery Mildew,Irregularly shaped brown blotches,Mancozeb,Spray in low sunlight conditions for best absorption,Foggy conditions,Superphosphate
Rice,Blight,Drooping leaves with yellow patches,Mancozeb,Dilute with 3 liters of water for every hectare,Foggy conditions,Superphosphate
Tomato,Rust,Small brown or black circular spots,Propiconazole,Mix with organic compost and apply near roots,Heavy rainfall,General NPK 20-20-20
Sugarcane,Bacterial Wilt,Small brown or black circular spots,Mancozeb,Apply 1.5ml per liter of water weekly,Low rainfall,Urea
Barley,Root Rot,Black lesions on stem and roots,Trichoderma,Mix with organic compost and apply near roots,Foggy conditions,Urea
Barley,Powdery Mildew,Drooping leaves with yellow patches,Sulfur Dust,Use 5ml per liter in early morning,Hot summer season,Superphosphate
Potato,Stem Rot,Curling and mosaic pattern on leaves,Propiconazole,Use 5ml per liter in early morning,Foggy conditions,Urea
