N,P,K,temperature,humidity,ph,rainfall,label,EC,Calcium,Magnesium,Sulfur,Iron,Manganese,Zinc,Copper,Boron,Molybdenum,CEC,Fertilizer Recommendation
90,42,43,20.87974371,82.00274423,6.502985292,202.9355362,rice,0.590949887,1571.754851,303.127572,27.71238278,44.85895007,37.98485498,8.95273733,4.199318434,3.106040263,0.620313987,39.81294337,"Balanced soil, no additional fertilizer needed"
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,1.92231268,2412.968281,51.72366024,43.90133907,16.47262269,43.92614566,6.652681998,2.93176541,0.256021862,0.386515903,27.24513984,"Balanced soil, no additional fertilizer needed"
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,0.707632688,1017.876969,356.8838237,65.76941695,30.82206624,49.26426593,3.623186538,1.52337755,0.589999437,0.222517667,35.34350731,Gypsum (Reduce pH)
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,1.041965398,3802.191755,174.182272,48.21432624,38.75406106,43.23309077,2.186859132,4.473056423,3.927586114,0.398961171,14.3339553,"Balanced soil, no additional fertilizer needed"
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,2.132990044,1571.623773,280.2921167,78.44301818,9.792677461,14.41828791,1.100126972,0.483785181,4.02290232,0.282053359,10.92168196,Gypsum (Reduce pH)
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,1.42087334,2113.993969,213.6308181,79.26845757,26.31698811,5.910686487,7.962069433,3.098486141,3.359019129,0.93283864,37.21049151,"Balanced soil, no additional fertilizer needed"
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,1.094418842,4701.213833,456.0645524,97.74488943,22.6106876,5.427070618,1.806124497,2.306098851,1.758880726,0.328454446,6.805629014,"Balanced soil, no additional fertilizer needed"
94,53,40,20.27774362,82.89408619,5.718627178,241.9741949,rice,0.55876587,4673.502262,171.2309992,96.54985348,15.91364341,24.18912088,4.202467755,0.45835942,0.562190815,0.050743229,14.73251283,"Balanced soil, no additional fertilizer needed"
89,54,38,24.51588066,83.5352163,6.685346424,230.4462359,rice,0.284207211,4259.912276,98.0536758,99.37424825,10.49639527,35.93985516,0.246300934,2.216651933,2.81784461,0.767383769,22.06172218,"Balanced soil, no additional fertilizer needed"
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,1.426050233,1278.292472,472.9997714,25.14630053,17.2049446,22.54074541,2.215785233,3.439979905,1.876302365,0.55300909,26.5271068,"Balanced soil, no additional fertilizer needed"
